#{"t_start": 1692689868.0003507, "env_id": "CartPole-v1"}
r,l,t
23.0,23,0.041465
25.0,25,0.125757
32.0,32,0.208547
17.0,17,0.279368
130.0,130,0.606539
17.0,17,0.617511
44.0,44,0.703294
142.0,142,1.081336
131.0,131,1.392928
153.0,153,1.779221
162.0,162,2.173733
500.0,500,3.355144
236.0,236,3.964655
325.0,325,4.742221
500.0,500,5.971584
207.0,207,6.443613
134.0,134,6.753849
233.0,233,7.352862
255.0,255,8.637846
500.0,500,9.802967
