#{"t_start": 1692689868.006335, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.027503
28.0,28,0.115279
77.0,77,0.287348
113.0,113,0.60255
55.0,55,0.695314
124.0,124,1.004531
205.0,205,1.534705
114.0,114,1.782214
467.0,467,2.945069
225.0,225,3.490801
257.0,257,4.115273
312.0,312,4.883276
500.0,500,6.05637
190.0,190,6.516941
219.0,219,7.049612
261.0,261,8.337607
500.0,500,9.557293
