#{"t_start": 1692689868.0083573, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.029469
12.0,12,0.037449
17.0,17,0.11775
20.0,20,0.191564
82.0,82,0.368116
34.0,34,0.450906
51.0,51,0.60352
27.0,27,0.677333
47.0,47,0.766108
118.0,118,1.071334
44.0,44,1.156097
272.0,272,1.848019
500.0,500,3.030337
182.0,182,3.490773
100.0,100,3.726253
166.0,166,4.122228
462.0,462,5.269802
297.0,297,5.971557
212.0,212,6.503434
170.0,170,6.891473
148.0,148,7.267542
255.0,255,8.553034
500.0,500,9.717566
271.0,271,12.211577
