#{"t_start": 1692689868.001348, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.037476
10.0,10,0.044458
32.0,32,0.133737
33.0,33,0.216527
24.0,24,0.293333
17.0,17,0.366148
20.0,20,0.379116
110.0,110,0.687334
22.0,22,0.701299
37.0,37,0.839947
89.0,89,1.01251
144.0,144,1.38868
192.0,192,1.859019
250.0,250,2.482213
404.0,404,3.42796
167.0,167,3.879899
342.0,342,4.668408
286.0,286,5.362593
215.0,215,5.898257
220.0,220,6.435633
140.0,140,6.749859
158.0,158,7.131912
274.0,274,8.484235
500.0,500,9.648662
350.0,350,12.306364
