#{"t_start": 1692689868.004368, "env_id": "CartPole-v1"}
r,l,t
32.0,32,0.043433
22.0,22,0.12573
38.0,38,0.212509
19.0,19,0.285337
66.0,66,0.450905
93.0,93,0.687307
21.0,21,0.759125
100.0,100,0.994528
35.0,35,1.074326
38.0,38,1.156096
173.0,173,1.550647
156.0,156,1.943289
346.0,346,2.797904
379.0,379,3.726252
175.0,175,4.128212
223.0,223,4.668381
500.0,500,5.897233
203.0,203,6.36678
247.0,247,6.974773
248.0,248,7.58376
413.0,413,9.249331
500.0,500,12.229531
