#{"t_start": 1692689868.0103254, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.027501
14.0,14,0.036478
26.0,26,0.122765
12.0,12,0.19159
40.0,40,0.27837
16.0,16,0.289342
60.0,60,0.449935
88.0,88,0.683344
19.0,19,0.754164
107.0,107,0.994556
50.0,50,1.140164
85.0,85,1.307812
239.0,239,1.924365
270.0,270,2.560016
500.0,500,3.795607
317.0,317,4.569658
292.0,292,5.267833
215.0,215,5.746641
162.0,162,6.191743
193.0,193,6.652597
189.0,189,7.054598
232.0,232,8.323642
500.0,500,9.485922
398.0,398,12.288409
